1214. Soil particles between 0.002 and 0.1 mm are called silt, and even smaller particles, less than 0.002 mm in diameter, are called clay.         Some soils have no dominant particle size and contain a mixture of sand, silt, and humus; these soils are called loams.       
1217.         The organic and inorganic material in which soils form is the parent material.       Mineral soils form directly from the weathering of bedrock, the solid rock that lies beneath the soil, and therefore, they have a similar composition to the original rock. 
1220. The soil profile has four distinct layers: 1) O horizon; 2) A horizon; 3) B horizon, or subsoil; and 4) C horizon, or soil base ([link]).         The O horizon has freshly decomposing organic matter—humus—at its surface, with decomposed vegetation at its base.       Humus enriches the soil with nutrients and enhances soil moisture retention. 
1226.         A parasitic plant depends on its host for survival.       Some parasitic plants have no leaves. 
1229.         An epiphyte is a plant that grows on other plants, but is not dependent upon the other plant for nutrition ([link]).       Epiphytes have two types of roots: clinging aerial roots, which absorb nutrients from humus that accumulates in the crevices of trees; and aerial roots, which absorb moisture from the atmosphere. 
1232. The haploid gametophyte produces the male and female gametes by mitosis in distinct multicellular structures.         Fusion of the male and females gametes forms the diploid zygote, which develops into the sporophyte.       After reaching maturity, the diploid sporophyte produces spores by meiosis, which in turn divide by mitosis to produce the haploid gametophyte. 
1235. The androecium has stamens with anthers that contain the microsporangia.         The innermost group of structures in the flower is the gynoecium, or the female reproductive component(s).       The carpel is the individual unit of the gynoecium and has a stigma, style, and ovary. 
1238. Female Gametophyte (The Embryo Sac)While the details may vary between species, the overall development of the female gametophyte has two distinct phases.         First, in the process of megasporogenesis, a single cell in the diploid megasporangium—an area of tissue in the ovules—undergoes meiosis to produce four megaspores, only one of which survives.       During the second phase, megagametogenesis, the surviving haploid megaspore undergoes mitosis to produce an eight-nucleate, seven-cell female gametophyte, also known as the megagametophyte or embryo sac. 
1241. This central cell later fuses with a sperm to form the triploid endosperm.         Three nuclei position themselves on the end of the embryo sac opposite the micropyle and develop into the antipodal cells, which later degenerate.       The nucleus closest to the micropyle becomes the female gamete, or egg cell, and the two adjacent nuclei develop into synergid cells ([link]). 
1244. Male GametophyteA male cone has a central axis on which bracts, a type of modified leaf, are attached.         The bracts are known as microsporophylls ([link]) and are the sites where microspores will develop.       The microspores develop inside the microsporangium. 
1247. Pollination takes two forms: self-pollination and cross-pollination.         Self-pollination occurs when the pollen from the anther is deposited on the stigma of the same flower, or another flower on the same plant.       Cross-pollination is the transfer of pollen from the anther of one flower to the stigma of another flower on a different individual of the same species. 
