1823. They are usually found in pairs and the number of tubules varies with the species of insect.         Malpighian tubules are convoluted, which increases their surface area, and they are lined with microvilli for reabsorption and maintenance of osmotic balance.       Malpighian tubules work cooperatively with specialized glands in the wall of the rectum. 
1826. Mammals, including humans, produce urea, whereas reptiles and many terrestrial invertebrates produce uric acid.         Animals that secrete urea as the primary nitrogenous waste material are called ureotelic animals.       
1841. Both macrophages and dendritic cells engulf pathogens and cellular debris through phagocytosis.         A neutrophil is also a phagocytic leukocyte that engulfs and digests pathogens.       Neutrophils, shown in [link], are the most abundant leukocytes of the immune system. 
1847. T cells and B cells of the adaptive immune system also are classified as lymphocytes.         T cells are lymphocytes that mature in the thymus gland, and B cells are lymphocytes that mature in the bone marrow.       NK cells identify intracellular infections, especially from viruses, by the altered expression of major histocompatibility class (MHC) I molecules on the surface of infected cells. 
1853. Complement proteins perform several functions.         The proteins serve as a marker to indicate the presence of a pathogen to phagocytic cells, such as macrophages and B cells, and enhance engulfment; this process is called opsonization.       Certain complement proteins can combine to form attack complexes that open pores in microbial cell membranes. 
1856.         An antigen is a foreign or “non-self” macromolecule that reacts with cells of the immune system.       Not all antigens will provoke a response. 
1859. Any individual may possess a population of T and B cells that together express a near limitless variety of antigen receptors that are capable of recognizing virtually any infecting pathogen.         T and B cells are activated when they recognize small components of antigens, called epitopes, presented by APCs, illustrated in [link].       Note that recognition occurs at a specific epitope rather than on the entire antigen; for this reason, epitopes are known as “antigenic determinants.” In the absence of information from APCs, T and B cells remain inactive, or naïve, and are unable to prepare an immune response. 
1862. When stimulated by the TH2 pathway, naïve B cells differentiate into antibody-secreting plasma cells.         A plasma cell is an immune cell that secrets antibodies; these cells arise from B cells that were stimulated by antigens.       Similar to T cells, naïve B cells initially are coated in thousands of B cell receptors (BCRs), which are membrane-bound forms of Ig (immunoglobulin, or an antibody). 
1865. Mucosal immunity is formed by mucosa-associated lymphoid tissue, which functions independently of the systemic immune system, and which has its own innate and adaptive components.         Mucosa-associated lymphoid tissue (MALT), illustrated in [link], is a collection of lymphatic tissue that combines with epithelial tissue lining the mucosa throughout the body.       This tissue functions as the immune barrier and response in areas of the body with direct contact to the external environment. 
1868. The combined result of Treg cells is to prevent immunologic activation and inflammation in undesired tissue compartments and to allow the immune system to focus on pathogens instead.         In addition to promoting immune tolerance of harmless antigens, other subsets of Treg cells are involved in the prevention of the autoimmune response, which is an inappropriate immune response to host cells or self-antigens.       Another Treg class suppresses immune responses to harmful pathogens after the infection has cleared to minimize host cell damage induced by inflammation and cell lysis. 
1874.         The term avidity describes binding by antibody classes that are secreted as joined, multivalent structures (such as IgM and IgA).       Although avidity measures the strength of binding, just as affinity does, the avidity is not simply the sum of the affinities of the antibodies in a multimeric structure. 
