0. What is biology?         In simple terms, biology is the study of living organisms and their interactions with one another and their environments.       This is a very broad definition because the scope of biology is vast. 
3. The steps of the scientific method will be examined in detail later, but one of the most important aspects of this method is the testing of hypotheses by means of repeatable experiments.         A hypothesis is a suggested explanation for an event, which can be tested.       Although using the scientific method is inherent to science, it is inadequate in determining what science is. 
6. For some experts, the natural sciences are astronomy, biology, chemistry, earth science, and physics.         Other scholars choose to divide natural sciences into life sciences, which study living things and include biology, and physical sciences, which study nonliving matter and include astronomy, geology, physics, and chemistry.       Some disciplines such as biophysics and biochemistry build on both life and physical sciences and are interdisciplinary. 
9. Both types of logical thinking are related to the two main pathways of scientific study: descriptive science and hypothesis-based science.         Descriptive (or discovery) science, which is usually inductive, aims to observe, explore, and discover, while hypothesis-based science, which is usually deductive, begins with a specific question or problem and a potential answer or solution that can be tested.       The boundary between these two forms of study is often blurred, and most scientific endeavors combine both approaches. 
18.         The introduction starts with brief, but broad, background information about what is known in the field.       A good introduction also gives the rationale of the work; it justifies the work carried out and also briefly mentions the end of the paper, where the hypothesis or research question driving the research will be presented. 
21. Some journals require a results section followed by a discussion section, but it is more common to combine both.         If the journal does not allow the combination of both sections, the results section simply narrates the findings without any further interpretation.       The results are presented by means of tables or graphs, but no duplicate information should be presented. 
27. Atoms form molecules.         A molecule is a chemical structure consisting of at least two atoms held together by one or more chemical bonds.       Many molecules that are biologically important are macromolecules, large molecules that are typically formed by polymerization (a polymer is a large molecule that is made by combining smaller units called monomers, which are simpler than macromolecules). 
30. Examples of organelles include mitochondria and chloroplasts, which carry out indispensable functions: mitochondria produce energy to power the cell, while chloroplasts enable green plants to utilize the energy in sunlight to make sugars.         All living things are made of cells; the cell itself is the smallest fundamental unit of structure and function in living organisms.       (This requirement is why viruses are not considered living: they are not made of cells. 
33. In larger organisms, cells combine to make tissues, which are groups of similar cells carrying out similar or related functions.         Organs are collections of tissues grouped together performing a common function.       Organs are present not only in animals but also in plants. 
36.         All the individuals of a species living within a specific area are collectively called a population.       For example, a forest may include many pine trees. 
39. An ecosystem consists of all the living things in a particular area together with the abiotic, non-living parts of that environment such as nitrogen in the soil or rain water.         At the highest level of organization ([link]), the biosphere is the collection of all ecosystems, and it represents the zones of life on earth.       It includes land, water, and even the atmosphere to a certain extent.Art ConnectionThe biological levels of organization of living things are shown. 
42. Biologists may pursue one of those subdisciplines and work in a more focused field.         For instance, molecular biology and biochemistry study biological processes at the molecular and chemical level, including interactions among molecules such as DNA, RNA, and proteins, as well as the way they are regulated.       Microbiology, the study of microorganisms, is the study of the structure and function of single-celled organisms. 
45.         Paleontology, another branch of biology, uses fossils to study life’s history ([link]).       Zoology and botany are the study of animals and plants, respectively. 
48. Matter is any substance that occupies space and has mass.         Elements are unique forms of matter with specific chemical and physical properties that cannot be broken down into smaller substances by ordinary chemical reactions.       There are 118 elements, but only 92 occur naturally. 
51. Although similar in mass, protons and neutrons differ in their electric charge.         A proton is positively charged whereas a neutron is uncharged.       Therefore, the number of neutrons in an atom contributes significantly to its mass, but not to its charge. 
54. The number of neutrons is variable, resulting in isotopes, which are different forms of the same atom that vary only in the number of neutrons they possess.         Together, the number of protons and the number of neutrons determine an element’s mass number, as illustrated in [link].       Note that the small contribution of mass from electrons is disregarded in calculating the mass number. 
63. The group 18 atoms helium (He), neon (Ne), and argon (Ar) all have filled outer electron shells, making it unnecessary for them to share electrons with other atoms to attain stability; they are highly stable as single atoms.         Their non-reactivity has resulted in their being named the inert gases (or noble gases).       Compare this to the group 1 elements in the left-hand column. 
66. Two electrons fill the 1s orbital, and the third electron then fills the 2s orbital.         Its electron configuration is 1s22s1.       Neon (Ne), on the other hand, has a total of ten electrons: two are in its innermost 1s orbital and eight fill its second shell (two each in the 2s and three p orbitals); thus, it is an inert gas and energetically stable as a single atom that will rarely form a chemical bond with other atoms. 
69. Chemical reactions occur when two or more atoms bond together to form molecules or when bonded atoms are broken apart.         The substances used in the beginning of a chemical reaction are called the reactants (usually found on the left side of a chemical equation), and the substances found at the end of the reaction are known as the products (usually found on the right side of a chemical equation).       An arrow is typically drawn between the reactants and products to indicate the direction of the chemical reaction; this direction is not always a “one-way street.” For the creation of the water molecule shown above, the chemical equation would be: 
72. Some chemical reactions, such as the one shown above, can proceed in one direction until the reactants are all used up.         The equations that describe these reactions contain a unidirectional arrow and are irreversible.       Reversible reactions are those that can go in either direction. 
84.         Nonpolar covalent bonds form between two atoms of the same element or between different elements that share electrons equally.       For example, molecular oxygen (O2) is nonpolar because the electrons will be equally distributed between the two oxygen atoms. 
87. Water also attracts or is attracted to other polar molecules and ions.         A polar substance that interacts readily with or dissolves in water is referred to as hydrophilic (hydro- = “water”; -philic = “loving”).       In contrast, non-polar molecules such as oils and fats do not interact well with water, as shown in [link] and separate from it rather than dissolve in it, as we see in salad dressings containing oil and vinegar (an acidic water solution). 
90. Specific heat is defined as the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius.         For water, this amount is one calorie.       It therefore takes water a long time to heat and long time to cool. 
93. Since water is a polar molecule with slightly positive and slightly negative charges, ions and polar molecules can readily dissolve in it.         Therefore, water is referred to as a solvent, a substance capable of dissolving other polar molecules and ionic compounds.       The charges associated with these molecules will form hydrogen bonds with water, surrounding the particle with water molecules. 
96.         Cohesion allows for the development of surface tension, the capacity of a substance to withstand being ruptured when placed under tension or stress.       This is also why water forms droplets when placed on a dry surface rather than being flattened out by gravity. 
99.          litmus or pH paper, filter paper that has been treated with a natural water-soluble dye so it can be used as a pH indicator, to test how much acid (acidity) or base (alkalinity) exists in a solution.       You might have even used some to test whether the water in a swimming pool is properly treated. 
102.         The pH scale is, as previously mentioned, an inverse logarithm and ranges from 0 to 14 ([link]).       Anything below 7.0 (ranging from 0.0 to 6.9) is acidic, and anything above 7.0 (from 7.1 to 14.0) is alkaline. 
105.         Hydrocarbons are organic molecules consisting entirely of carbon and hydrogen, such as methane (CH4) described above.       We often use hydrocarbons in our daily lives as fuels—like the propane in a gas grill or the butane in a lighter. 
108. The three-dimensional placement of atoms and chemical bonds within organic molecules is central to understanding their chemistry.         Molecules that share the same chemical formula but differ in the placement (structure) of their atoms and/or chemical bonds are known as isomers.       Structural isomers (like butane and isobutene shown in [link] a) differ in the placement of their covalent bonds: both molecules have four carbons and ten hydrogens (C4H10), but the different arrangement of the atoms within the molecules leads to differences in their chemical properties. 
111.         Enantiomers are molecules that share the same chemical structure and chemical bonds but differ in the three-dimensional placement of atoms so that they are mirror images.       As shown in [link], an amino acid alanine example, the two structures are non-superimposable. 
114.         As you’ve learned, biological macromolecules are large molecules, necessary for life, that are built from smaller organic molecules.       There are four major classes of biological macromolecules (carbohydrates, lipids, proteins, and nucleic acids); each is an important cell component and performs a wide array of functions. 
120.         Carbohydrates can be represented by the stoichiometric formula (CH2O)n, where n is the number of carbons in the molecule.       In other words, the ratio of carbon to hydrogen to oxygen is 1:2:1 in carbohydrate molecules. 
126.         Cellulose is the most abundant natural biopolymer.       The cell wall of plants is mostly made of cellulose; this provides structural support to the cell. 
129. The three fatty acids in the triacylglycerol may be similar or dissimilar.         Fats are also called triacylglycerols or triglycerides because of their chemical structure.       Some fatty acids have common names that specify their origin. 
132. Cis and trans indicate the configuration of the molecule around the double bond.         If hydrogens are present in the same plane, it is referred to as a cis fat; if the hydrogen atoms are on two different planes, it is referred to as a trans fat.       The cis double bond causes a bend or a “kink” that prevents the fatty acids from packing tightly, keeping them liquid at room temperature ([link]). 
135.         Phospholipids are major constituents of the plasma membrane, the outermost layer of animal cells.       Like fats, they are composed of fatty acid chains attached to a glycerol or sphingosine backbone. 
141.         Amino acids are the monomers that make up proteins.       Each amino acid has the same fundamental structure, which consists of a central carbon atom, also known as the alpha (α) carbon, bonded to an amino group (NH2), a carboxyl group (COOH), and to a hydrogen atom. 
144.         The local folding of the polypeptide in some regions gives rise to the secondary structure of the protein.       The most common are the α-helix and β-pleated sheet structures ([link]). 
147.         In nature, some proteins are formed from several polypeptides, also known as subunits, and the interaction of these subunits forms the quaternary structure.       Weak interactions between the subunits help to stabilize the overall structure. 
150.          The two main types of nucleic acids are deoxyribonucleic acid (DNA) and ribonucleic acid (RNA).       DNA is the genetic material found in all living organisms, ranging from single-celled bacteria to multicellular mammals. 
153. DNA and RNA are made up of monomers known as nucleotides.         The nucleotides combine with each other to form a polynucleotide, DNA or RNA.       Each nucleotide is made up of three components: a nitrogenous base, a pentose (five-carbon) sugar, and a phosphate group ([link]). 
156. The carbon atoms of the sugar molecule are numbered as 1′, 2′, 3′, 4′, and 5′ (1′ is read as “one prime”).         The phosphate residue is attached to the hydroxyl group of the 5′ carbon of one sugar and the hydroxyl group of the 3′ carbon of the sugar of the next nucleotide, which forms a 5′–3′ phosphodiester linkage.       The phosphodiester linkage is not formed by simple dehydration reaction like the other linkages connecting monomers in macromolecules: its formation involves the removal of two phosphate groups. 
159. As you have learned, information flow in an organism takes place from DNA to RNA to protein.         DNA dictates the structure of mRNA in a process known as transcription, and RNA dictates the structure of protein in a process known as translation.       This is known as the Central Dogma of Life, which holds true for all organisms; however, exceptions to the rule occur in connection with viral infections. 
162.         In contrast to light microscopes, electron microscopes ([link]b) use a beam of electrons instead of a beam of light.       Not only does this allow for higher magnification and, thus, more detail ([link]), it also provides higher resolving power. 
165. We will shortly come to see that this is significantly different in eukaryotes.         Prokaryotic DNA is found in a central part of the cell: the nucleoid ([link]).This figure shows the generalized structure of a prokaryotic cell.       All prokaryotes have chromosomal DNA localized in a nucleoid, ribosomes, a cell membrane, and a cell wall. 
168.         The cytoplasm is the entire region of a cell between the plasma membrane and the nuclear envelope (a structure to be discussed shortly).       It is made up of organelles suspended in the gel-like cytosol, the cytoskeleton, and various chemicals ( [link]). 
171.          The nuclear envelope is a double-membrane structure that constitutes the outermost portion of the nucleus ( [link]).       Both the inner and outer membranes of the nuclear envelope are phospholipid bilayers. 
174. When the cell is in the growth and maintenance phases of its life cycle, proteins are attached to chromosomes, and they resemble an unwound, jumbled bunch of threads.         These unwound protein-chromosome complexes are called chromatin ( [link]); chromatin describes the material that makes up the chromosomes both when condensed and decondensed.       
177.         Mitochondria (singular = mitochondrion) are often called the “powerhouses” or “energy factories” of a cell because they are responsible for making adenosine triphosphate (ATP), the cell’s main energy-carrying molecule.       ATP represents the short-term stored energy of the cell. 
180.         The centrosome is a microtubule-organizing center found near the nuclei of animal cells.       It contains a pair of centrioles, two structures that lie perpendicular to each other ( [link]). 
