1818. This allows for exchange of chemical messengers between the different cell types.         For example, the DCT ascending limb of the loop of Henle has masses of cells called macula densa, which are in contact with cells of the afferent arterioles called juxtaglomerular cells.       Together, the macula densa and juxtaglomerular cells form the juxtaglomerular complex (JGC). 
1821. They are similar to flame cells in that they have a tubule with cilia.         Excretion occurs through a pore called the nephridiopore.       They are more evolved than the flame cells in that they have a system for tubular reabsorption by a capillary network before excretion. 
1824. Excess nitrogen is excreted from the body.         Nitrogenous wastes tend to form toxic ammonia, which raises the pH of body fluids.       The formation of ammonia itself requires energy in the form of ATP and large quantities of water to dilute it out of a biological system. 
1830.         GoutMammals use uric acid crystals as an antioxidant in their cells.       However, too much uric acid tends to form kidney stones and may also cause a painful condition called gout, where uric acid crystals accumulate in the joints, as illustrated in [link]. 
1833. The immune system comprises both innate and adaptive immune responses.         Innate immunity occurs naturally because of genetic factors or physiology; it is not induced by infection or vaccination but works to reduce the workload for the adaptive immune response.       Both the innate and adaptive levels of the immune response involve secreted proteins, receptor-mediated signaling, and intricate cell-to-cell communication. 
1836. A macrophage is a large phagocytic cell that engulfs foreign particles and pathogens.         Macrophages recognize PAMPs via complementary pattern recognition receptors (PRRs).       PRRs are molecules on macrophages and dendritic cells which are in contact with the external environment. 
1839. A second class of early-acting cytokines is interferons, which are released by infected cells as a warning to nearby uninfected cells.         One of the functions of an interferon is to inhibit viral replication.       They also have other important functions, such as tumor surveillance. 
1842. Neutrophils have a nucleus with two to five lobes, and they contain organelles, called lysosomes, that digest engulfed pathogens.         An eosinophil is a leukocyte that works with other eosinophils to surround a parasite; it is involved in the allergic response and in protection against helminthes (parasitic worms).       
1845.         Lymphocytes are leukocytes that are histologically identifiable by their large, darkly staining nuclei; they are small cells with very little cytoplasm, as shown in [link].       Infected cells are identified and destroyed by natural killer (NK) cells, lymphocytes that can kill cells infected with viruses or tumor cells (abnormal cells that uncontrollably divide and invade other tissue). 
1848. T cells are lymphocytes that mature in the thymus gland, and B cells are lymphocytes that mature in the bone marrow.         NK cells identify intracellular infections, especially from viruses, by the altered expression of major histocompatibility class (MHC) I molecules on the surface of infected cells.       MHC I molecules are proteins on the surfaces of all nucleated cells, thus they are scarce on red blood cells and platelets which are non-nucleated. 
1851. Granzymes are released along with the perforin in the immunological synapse.         A granzyme is a protease that digests cellular proteins and induces the target cell to undergo programmed cell death, or apoptosis.       Phagocytic cells then digest the cell debris left behind. 
1854. The adaptive, or acquired, immune response takes days or even weeks to become established—much longer than the innate response; however, adaptive immunity is more specific to pathogens and has memory.         Adaptive immunity is an immunity that occurs after exposure to an antigen either from a pathogen or a vaccination.       This part of the immune system is activated when the innate immune response is insufficient to control an infection. 
1857. The innate immune system contains cells that detect potentially harmful antigens, and then inform the adaptive immune response about the presence of these antigens.         An antigen-presenting cell (APC) is an immune cell that detects, engulfs, and informs the adaptive immune response about an infection.       When a pathogen is detected, these APCs will phagocytose the pathogen and digest it to form many different fragments of the antigen. 
1860. These molecules are important because they regulate how a T cell will interact with and respond to an APC.         Naïve CD4+ cells bind APCs via their antigen-embedded MHC II molecules and are stimulated to become helper T (TH) lymphocytes, cells that go on to stimulate B cells (or cytotoxic T cells) directly or secrete cytokines to inform more and various target cells about the pathogenic threat.       In contrast, CD8+ cells engage antigen-embedded MHC I molecules on APCs and are stimulated to become cytotoxic T lymphocytes (CTLs), which directly kill infected cells by apoptosis and emit cytokines to amplify the immune response. 
1863. When a TH2 cell detects that a B cell is bound to a relevant antigen, it secretes specific cytokines that induce the B cell to proliferate rapidly, which makes thousands of identical (clonal) copies of it, and then it synthesizes and secretes antibodies with the same antigen recognition pattern as the BCRs.         The activation of B cells corresponding to one specific BCR variant and the dramatic proliferation of that variant is known as clonal selection.       This phenomenon drastically, but briefly, changes the proportions of BCR variants expressed by the immune system, and shifts the balance toward BCRs specific to the infecting pathogen. 
1866.         The immune system has to be regulated to prevent wasteful, unnecessary responses to harmless substances, and more importantly so that it does not attack “self.” The acquired ability to prevent an unnecessary or harmful immune response to a detected foreign substance known not to cause disease is described as immune tolerance.       Immune tolerance is crucial for maintaining mucosal homeostasis given the tremendous number of foreign substances (such as food proteins) that APCs of the oral cavity, pharynx, and gastrointestinal mucosa encounter. 
