2115. A different strain, spread by airborne germs, also killed many.         Together these two are collectively called the Black Death ([link]).       Entire villages disappeared. 
2118.         In an agrarian society, the seasons dictate the rhythm of life.       Everyone in Europe’s feudal society had a job to do and worked hard. 
2121. Muslims, however, retained control of much of Spain, where Córdoba, known for leather and wool production, became a major center of learning and trade.         By the eleventh century, a major Christian holy war called the Reconquista, or reconquest, had begun to slowly push the Muslims from Spain.       This drive was actually an extension of the earlier military conflict between Christians and Muslims for domination of the Holy Land (the Biblical region of Palestine), known as the Crusades. 
2124. Although there were large trading centers along these rivers, most West Africans lived in small villages and identified with their extended family or their clan.         Wives, children, and dependents (including slaves) were a sign of wealth among men, and polygyny, the practice of having more than one wife at a time, was widespread.       In time of need, relatives, however far away, were counted upon to assist in supplying food or security. 
2127.         Some scholars believe that between nine and fifteen thousand years ago, a land bridge existed between Asia and North America that we now call Beringia.       The first inhabitants of what would be named the Americas migrated across this bridge in search of food. 
2133. They counseled the chief and passed on the traditions of the tribe.         This matriarchy changed dramatically with the coming of the Europeans, who introduced, sometimes forcibly, their own customs and traditions to the natives.       
2136. Both arguments struck a chord.         In the early 1600s, wealthy English merchants and the landed elite began to pool their resources to form joint stock companies.       In this novel business arrangement, which was in many ways the precursor to the modern corporation, investors provided the capital for and assumed the risk of a venture in order to reap significant returns. 
2139. For this reason, Pilgrims are known as Separatists.Like Jamestown, Plymouth occupies an iconic place in American national memory.         The tale of the 102 migrants who crossed the Atlantic aboard the Mayflower and their struggle for survival is a well-known narrative of the founding of the country.       Their story includes the signing of the Mayflower Compact, a written agreement whereby the English voluntarily agreed to help each other. 
2145. American silver, tobacco, and other items, which were used by native peoples for ritual purposes, became European commodities with a monetary value that could be bought and sold.         Before the arrival of the Spanish, for example, the Inca people of the Andes consumed chicha, a corn beer, for ritual purposes only.       When the Spanish discovered chicha, they bought and traded for it, turning it into a commodity instead of a ritual substance. 
2148. In eastern North America, some native peoples interpreted death from disease as a hostile act.         Some groups, including the Iroquois, engaged in raids or “mourning wars,” taking enemy prisoners in order to assuage their grief and replace the departed.       In a special ritual, the prisoners were “requickened”—assigned the identity of a dead person—and adopted by the bereaved family to take the place of their dead. 
2151.         Columbus’s 1493 letter—or probanza de mérito (proof of merit)—describing his “discovery” of a New World did much to inspire excitement in Europe.       Probanzas de méritos were reports and letters written by Spaniards in the New World to the Spanish crown, designed to win royal patronage. 
2154.         Calvinism emphasized human powerlessness before an omniscient God and stressed the idea of predestination, the belief that God selected a few chosen people for salvation while everyone else was predestined to damnation.       Calvinists believed that reading scripture prepared sinners, if they were among the elect, to receive God’s grace. 
2157. Nonetheless, those indentured servants who completed their term of service often began new lives as tobacco planters.         To entice even more migrants to the New World, the Virginia Company also implemented the headright system, in which those who paid their own passage to Virginia received fifty acres plus an additional fifty for each servant or family member they brought with them.       The headright system and the promise of a new life for servants acted as powerful incentives for English migrants to hazard the journey to the New World. 
2160. In 1565, the victorious Menéndez founded St. Augustine, now the oldest European settlement in the Americas.         In the process, the Spanish displaced the local Timucua Indians from their ancient town of Seloy, which had stood for thousands of years ([link]).       The Timucua suffered greatly from diseases introduced by the Spanish, shrinking from a population of around 200,000 pre-contact to fifty thousand in 1590. 
2163. Everywhere, Africans resisted slavery, and running away was common.         In Jamaica and elsewhere, runaway slaves created maroon communities, groups that resisted recapture and eked out a living from the land, rebuilding their communities as best they could.       When possible, they adhered to traditional ways, following spiritual leaders such as Vodun priests. 
2166. Conflict with native peoples, as well as dissatisfaction with the Dutch West India Company’s trading practices, made the Dutch outpost an undesirable place for many migrants.         The small size of the population meant a severe labor shortage, and to complete the arduous tasks of early settlement, the Dutch West India Company imported some 450 African slaves between 1626 and 1664.       (The company had involved itself heavily in the slave trade and in 1637 captured Elmina, the slave-trading post on the west coast of Africa, from the Portuguese.) 
2169.         The final imperial war, the French and Indian War (1754–1763), known as the Seven Years’ War (1756–1763) in Europe, proved to be the decisive contest between Britain and France in America.       It began over rival claims along the frontier in present-day western Pennsylvania. 
2172. In England, opponents of James II’s efforts to create a centralized Catholic state were known as Whigs.         The Whigs worked to depose James, and in late 1688 they succeeded, an event they celebrated as the Glorious Revolution while James fled to the court of Louis XIV in France.       William III (William of Orange) and his wife Mary II ascended the throne in 1689. 
2175.         The Enlightenment, or the Age of Reason, was an intellectual and cultural movement in the eighteenth century that emphasized reason over superstition and science over blind faith.       Using the power of the press, Enlightenment thinkers like John Locke, Isaac Newton, and Voltaire questioned accepted knowledge and spread new ideas about openness, investigation, and religious tolerance throughout Europe and the Americas. 
2178.         Oglethorpe’s vision for Georgia followed the ideals of the Age of Reason, seeing it as a place for England’s “worthy poor” to start anew.       To encourage industry, he gave each male immigrant fifty acres of land, tools, and a year’s worth of supplies. 
2181. His policies in the 1660s through the 1680s established and supported the Restoration colonies: the Carolinas, New Jersey, New York, and Pennsylvania.         All the Restoration colonies started as proprietary colonies, that is, the king gave each colony to a trusted individual, family, or group.       
2184.         Slavery formed a cornerstone of the British Empire in the eighteenth century.       Every colony had slaves, from the southern rice plantations in Charles Town, South Carolina, to the northern wharves of Boston. 
