3615. We use a variety of cues in a visual scene to establish our sense of depth.         Some of these are binocular cues, which means that they rely on the use of both eyes.       One example of a binocular depth cue is binocular disparity, the slightly different view of the world that each of our eyes receives. 
3621. The inner ear contains the semi-circular canals, which are involved in balance and movement (the vestibular sense), and the cochlea.         The cochlea is a fluid-filled, snail-shaped structure that contains the sensory receptor cells (hair cells) of the auditory system ([link]).       
3624. We’ll discuss two of them here: temporal theory and place theory.         The temporal theory of pitch perception asserts that frequency is coded by the activity level of a sensory neuron.       This would mean that a given hair cell would fire action potentials related to the frequency of the sound wave. 
3627. Localizing sound could be considered similar to the way that we perceive depth in our visual fields.         Like the monocular and binocular cues that provided information about depth, the auditory system uses both monaural (one-eared) and binaural (two-eared) cues to localize sound.       
3630.          Deafness is the partial or complete inability to hear.       Some people are born deaf, which is known as congenital deafness. 
3633.          When the hearing problem is associated with a failure to transmit neural signals from the cochlea to the brain, it is called sensorineural hearing loss.       One disease that results in sensorineural hearing loss is Ménière's disease. 
3636. This kind of loss cannot be treated with hearing aids, but some individuals might be candidates for a cochlear implant as a treatment option.         Cochlear implants are electronic devices that consist of a microphone, a speech processor, and an electrode array.       The device receives incoming sound information and directly stimulates the auditory nerve to transmit information to the brain. 
3639. You have learned since elementary school that there are four basic groupings of taste: sweet, salty, sour, and bitter.         Research demonstrates, however, that we have at least six taste groupings.       Umami is our fifth taste. 
3642.          Olfactory receptor cells are located in a mucous membrane at the top of the nose.       Small hair-like extensions from these receptors serve as the sites for odor molecules dissolved in the mucus to interact with chemical receptors located on these extensions ([link]). 
3645. These receptors include Meissner’s corpuscles, Pacinian corpuscles, Merkel’s disks, and Ruffini corpuscles.         Meissner’s corpuscles respond to pressure and lower frequency vibrations, and Pacinian corpuscles detect transient pressure and higher frequency vibrations.       Merkel’s disks respond to light pressure, while Ruffini corpuscles detect stretch (Abraira & Ginty, 2013).There are many types of sensory receptors located in the skin, each attuned to specific touch-related stimuli. 
3648. Generally speaking, pain can be considered to be neuropathic or inflammatory in nature.         Pain that signals some type of tissue damage is known as inflammatory pain.       In some situations, pain results from damage to neurons of either the peripheral or central nervous system. 
3651.          The vestibular sense contributes to our ability to maintain balance and body posture.       As [link] shows, the major sensory organs (utricle, saccule, and the three semicircular canals) of this system are located next to the cochlea in the inner ear. 
3654.          One Gestalt principle is the figure-ground relationship.       According to this principle, we tend to segment our visual world into figure and ground. 
3657.          Two additional Gestalt principles are the law of continuity (or good continuation) and closure.       The law of continuity suggests that we are more likely to perceive continuous, smooth flowing lines rather than jagged, broken lines ([link]). 
3660. You probably feel fairly certain that your perception accurately matches the real world, but this is not always the case.         Our perceptions are based on perceptual hypotheses: educated guesses that we make while interpreting sensory information.       These hypotheses are informed by a number of factors, including our personalities, experiences, and expectations. 
3663. Both instincts and reflexes are innate behaviors that organisms are born with.         Reflexes are a motor or neural reaction to a specific stimulus in the environment.       They tend to be simpler than instincts, involve the activity of specific body parts and systems (e.g., the knee-jerk reflex and the contraction of the pupil in bright light), and involve more primitive centers of the central nervous system (e.g., the spinal cord and the medulla). 
3666. Our minds have a natural tendency to connect events that occur closely together or in sequence.         Associative learning occurs when an organism makes connections between stimuli or events that occur together in the environment.       You will see that associative learning is central to all three basic learning processes discussed in this chapter; classical conditioning tends to involve unconscious processes, operant conditioning tends to involve conscious processes, and observational learning adds social and cognitive layers to all the basic associative processes, both conscious and unconscious. 
3669. Pavlov (1849–1936), a Russian scientist, performed extensive research on dogs and is best known for his experiments in classical conditioning ([link]).         As we discussed briefly in the previous section, classical conditioning is a process by which we learn to associate stimuli and, consequently, to anticipate events.Ivan Pavlov’s research on the digestive system of dogs unexpectedly led to his discovery of the learning process now known as classical conditioning.       "> 
3672. Pavlov would sound a tone (like ringing a bell) and then give the dogs the meat powder ([link]).         The tone was the neutral stimulus (NS), which is a stimulus that does not naturally elicit a response.       Prior to conditioning, the dogs did not salivate when they just heard the tone because the tone had no association for the dogs. 
