3617. Generally, you pick up on depth in these images even though the visual stimulus is 2-D.         When we do this, we are relying on a number of monocular cues, or cues that require only one eye.       If you think you can’t see depth with one eye, note that you don’t bump into things when using only one eye while walking—and, in fact, we have more monocular cues than binocular cues. 
3620. The outer ear includes the pinna, which is the visible part of the ear that protrudes from our heads, the auditory canal, and the tympanic membrane, or eardrum.         The middle ear contains three tiny bones known as the ossicles, which are named the malleus (or hammer), incus (or anvil), and the stapes (or stirrup).       The inner ear contains the semi-circular canals, which are involved in balance and movement (the vestibular sense), and the cochlea. 
3623. As the stapes presses into the oval window, the fluid inside the cochlea begins to move, which in turn stimulates hair cells, which are auditory receptor cells of the inner ear embedded in the basilar membrane.         The basilar membrane is a thin strip of tissue within the cochlea.       
3626.          The ability to locate sound in our environments is an important part of hearing.       Localizing sound could be considered similar to the way that we perceive depth in our visual fields. 
3629. Interaural level difference refers to the fact that a sound coming from the right side of your body is more intense at your right ear than at your left ear because of the attenuation of the sound wave as it passes through your head.         Interaural timing difference refers to the small difference in the time at which a given sound wave arrives at each ear ([link]).       Certain brain areas monitor these differences to construct where along a horizontal axis a sound originates (Grothe et al., 2010). 
3635. One disease that results in sensorineural hearing loss is Ménière's disease.         Although not well understood, Ménière's disease results in a degeneration of inner ear structures that can lead to hearing loss, tinnitus (constant ringing or buzzing), vertigo (a sense of spinning), and an increase in pressure within the inner ear (Semaan & Megerian, 2011).       This kind of loss cannot be treated with hearing aids, but some individuals might be candidates for a cochlear implant as a treatment option. 
3638.          Taste (gustation) and smell (olfaction) are called chemical senses because both have sensory receptors that respond to molecules in the food we eat or in the air we breathe.       There is a pronounced interaction between our chemical senses. 
3644.          Many species respond to chemical messages, known as pheromones, sent by another individual (Wysocki & Preti, 2004).       Pheromonal communication often involves providing information about the reproductive status of a potential mate. 
3650. Some individuals are born without the ability to feel pain.         This very rare genetic disorder is known as congenital insensitivity to pain (or congenital analgesia).       While those with congenital analgesia can detect differences in temperature and pressure, they cannot experience pain. 
3653. Wertheimer, and his assistants Wolfgang Köhler and Kurt Koffka, who later became his partners, believed that perception involved more than simply combining sensory stimuli.         This belief led to a new movement within the field of psychology known as Gestalt psychology.       The word gestalt literally means form or pattern, but its use reflects the idea that the whole is different from the sum of its parts. 
3656.          We might also use the principle of similarity to group things in our visual fields.       According to this principle, things that are alike tend to be grouped together ([link]). 
3659.          According to Gestalt theorists, pattern perception, or our ability to discriminate among different figures and shapes, occurs by following the principles described above.       You probably feel fairly certain that your perception accurately matches the real world, but this is not always the case. 
3662. Built from sensations, but influenced by our own experiences, biases, prejudices, and cultures, perceptions can be very different from person to person.         Research suggests that implicit racial prejudice and stereotypes affect perception.       For instance, several studies have demonstrated that non-Black participants identify weapons faster and are more likely to identify non-weapons as weapons when the image of the weapon is paired with the image of a Black person (Payne, 2001; Payne, Shimizu, & Jacoby, 2005). 
3665. Learning, like reflexes and instincts, allows an organism to adapt to its environment.         But unlike instincts and reflexes, learned behaviors involve change and experience: learning is a relatively permanent change in behavior or knowledge that results from experience.       In contrast to the innate behaviors discussed above, learning involves acquiring knowledge and skills through experience. 
3668.         Pavlov (1849–1936), a Russian scientist, performed extensive research on dogs and is best known for his experiments in classical conditioning ([link]).       As we discussed briefly in the previous section, classical conditioning is a process by which we learn to associate stimuli and, consequently, to anticipate events.Ivan Pavlov’s research on the digestive system of dogs unexpectedly led to his discovery of the learning process now known as classical conditioning. 
3671. The meat powder in this situation was an unconditioned stimulus (UCS): a stimulus that elicits a reflexive response in an organism.         The dogs’ salivation was an unconditioned response (UCR): a natural (unlearned) reaction to a given stimulus.       Before conditioning, think of the dogs’ stimulus and response like this: 
3674. Eventually, the dogs began to salivate to the tone alone, just as they previously had salivated at the sound of the assistants’ footsteps.         The behavior caused by the conditioned stimulus is called the conditioned response (CR).       In the case of Pavlov’s dogs, they had learned to associate the tone (CS) with being fed, and they began to salivate (CR) in anticipation of food. 
3677.         Taste aversion is a type of conditioning in which an interval of several hours may pass between the conditioned stimulus (something ingested) and the unconditioned stimulus (nausea or illness).       Here’s how it works. 
3680. Animals (including humans) need to distinguish between stimuli—for example, between sounds that predict a threatening event and sounds that do not—so that they can respond appropriately (such as running away if the sound is threatening).         When an organism learns to respond differently to various stimuli that are similar, it is called stimulus discrimination.       In classical conditioning terms, the organism demonstrates the conditioned response only to the conditioned stimulus. 
3683. John B.         Watson, shown in [link], is considered the founder of behaviorism.       Behaviorism is a school of thought that arose during the first part of the 20th century, which incorporates elements of Pavlov’s classical conditioning (Hunt, 2007). 
3686. Skinner believed that behavior is motivated by the consequences we receive for the behavior: the reinforcements and punishments.         His idea that learning is the result of consequences is based on the law of effect, which was first proposed by psychologist Edward Thorndike.       According to the law of effect, behaviors that are followed by consequences that are satisfying to the organism are more likely to be repeated, and behaviors that are followed by unpleasant consequences are less likely to be repeated (Thorndike, 1911). 
3689.          In negative reinforcement, an undesirable stimulus is removed to increase a behavior.       For example, car manufacturers use the principles of negative reinforcement in their seatbelt systems, which go “beep, beep, beep” until you fasten your seatbelt. 
3692. In this case, a stimulus (the reprimand) is added in order to decrease the behavior (texting in class).         In negative punishment, you remove a pleasant stimulus to decrease behavior.       For example, when a child misbehaves, a parent can take away a favorite toy. 
3695.          A secondary reinforcer has no inherent value and only has reinforcing qualities when linked with a primary reinforcer.       Praise, linked to affection, is one example of a secondary reinforcer, as when you called out “Great shot!” every time Joaquin made a goal. 
3698. Now let’s combine these four terms.         A fixed interval reinforcement schedule is when behavior is rewarded after a set amount of time.       For example, June undergoes major surgery in a hospital. 
3701.          In a variable ratio reinforcement schedule, the number of responses needed for a reward varies.       This is the most powerful partial reinforcement schedule. 
3704. As soon as the rats became aware of the food, they were able to find their way through the maze quickly, just as quickly as the comparison group, which had been rewarded with food all along.         This is known as latent learning: learning that occurs but is not observable in behavior until there is a reason to demonstrate it.Psychologist Edward Tolman found that rats use cognitive maps to navigate through a maze.       Have you ever worked your way through various levels on a video game? 
3707.          Imitation is much more obvious in humans, but is imitation really the sincerest form of flattery?       Consider Claire’s experience with observational learning. 
3710. On the other hand, if you observed the model being punished, you would be less motivated to copy her.         This is called vicarious punishment.       For example, imagine that four-year-old Allison watched her older sister Kaitlyn playing in their mother’s makeup, and then saw Kaitlyn get a time out when their mother came in. 
3713.         Cognitive psychology is the field of psychology dedicated to examining how people think.       It attempts to explain how and why we think the way we do by studying the interactions among human thinking, emotion, creativity, language, and problem solving, in addition to other cognitive processes. 
3716. In psychology, concepts can be divided into two categories, natural and artificial.         Natural concepts are created “naturally” through your experiences and can be developed from either direct or indirect experiences.       For example, if you live in Essex Junction, Vermont, you have probably had a lot of direct experience with snow. 
3719. There are several types of schemata.         A role schema makes assumptions about how individuals in certain roles will behave (Callero, 1994).       For example, imagine you meet someone who introduces himself as a firefighter. 
3722. Language, be it spoken, signed, or written, has specific components: a lexicon and grammar.         Lexicon refers to the words of a given language.       Thus, lexicon is a language’s vocabulary. 
3725. A phoneme (e.g., the sounds “ah” vs. “eh”) is a basic sound unit of a given language, and different languages have different sets of phonemes.         Phonemes are combined to form morphemes, which are the smallest units of language that convey some type of meaning (e.g., “I” is both a phoneme and a morpheme).       We use semantics and syntax to construct language. 
3728. However, young children master language very quickly with relative ease.         B. F. Skinner (1957) proposed that language is learned through reinforcement.       Noam Chomsky (1965) criticized this behaviorist approach, asserting instead that the mechanisms underlying language acquisition are biologically determined. 
3731.         A problem-solving strategy is a plan of action used to find a solution.       Different strategies have different action plans associated with them ([link]). 
3734. A heuristic is another type of problem solving strategy.         While an algorithm must be followed exactly to produce a correct result, a heuristic is a general problem-solving framework (Tversky & Kahneman, 1974).       You can think of these as mental shortcuts that are used to solve problems. 
3737.         Functional fixedness is a type of mental set where you cannot perceive an object being used for something other than what it was designed for.       During the Apollo 13 mission to the moon, NASA engineers at Mission Control had to overcome functional fixedness to save the lives of the astronauts aboard the spacecraft. 
3740. For example, if you think that your professor is not very nice, you notice all of the instances of rude behavior exhibited by the professor while ignoring the countless pleasant interactions he is involved in on a daily basis.         Hindsight bias leads you to believe that the event you just experienced was predictable, even though it really wasn’t. In other words, you knew all along that things would turn out the way they did.       Representative bias describes a faulty way of thinking, in which you unintentionally stereotype someone or something; for example, you may assume that your professors spend their free time reading books and engaging in intellectual conversation, because the idea of them spending their time playing volleyball or visiting an amusement park does not fit in with your stereotypes of professors. 
3746. James theorized that behavior was driven by a number of instincts, which aid survival ([link]).         From a biological perspective, an instinct is a species-specific pattern of behavior that is not learned.       There was, however, considerable controversy among James and his contemporaries over the exact definition of instinct. 
3749. Researchers Robert Yerkes (pronounced “Yerk-EES”) and John Dodson discovered that the optimal arousal level depends on the complexity and difficulty of the task to be performed ([link]).         This relationship is known as Yerkes-Dodson law, which holds that a simple task is performed best when arousal levels are relatively high and complex tasks are best performed when arousal levels are lower.       
3752.          Maslow’s Hierarchy of NeedsWhile the theories of motivation described earlier relate to basic biological drives, individual characteristics, or social contexts, Abraham Maslow (1943) proposed a hierarchy of needs that spans the spectrum of motives ranging from the biological to the individual to the social.       These needs are often depicted as a pyramid ([link]). 
3758.         Creative intelligence is marked by inventing or imagining a solution to a problem or situation.       Creativity in this realm can include finding a novel solution to an unexpected problem or producing a beautiful work of art or a well-developed short story. 
3764. Divergent thinking can be described as thinking “outside the box;” it allows an individual to arrive at unique, multiple solutions to a given problem.         In contrast, convergent thinking describes the ability to provide a correct or well-established answer or solution to a problem (Cropley, 2006; Gilford, 1967)       
3767.          The various hunger and satiety signals that are involved in the regulation of eating are integrated in the brain.       Research suggests that several areas of the hypothalamus and hindbrain are especially important sites where this integration occurs (Ahima & Antwi, 2008; Woods & D’Alessio, 2008). 
3770. OBESITYWhen someone weighs more than what is generally accepted as healthy for a given height, they are considered overweight or obese.         According to the Centers for Disease Control and Prevention (CDC), an adult with a body mass index (BMI) between 25 and 29.9 is considered overweight ([link]).       An adult with a BMI of 30 or higher is considered obese (Centers for Disease Control and Prevention [CDC], 2012). 
3773. In cases in which a person has had no success with repeated attempts to reduce weight or is at risk for death because of obesity, bariatric surgery may be recommended.         Bariatric surgery is a type of surgery specifically aimed at weight reduction, and it involves modifying the gastrointestinal system to reduce the amount of food that can be eaten and/or limiting how much of the digested food can be absorbed ([link]) (Mayo Clinic, 2013).       A recent meta-analysis suggests that bariatric surgery is more effective than non-surgical treatment for obesity in the two-years immediately following the procedure, but to date, no long-term studies yet exist (Gloy et al., 2013). 
3776.          As of the 2013 release of the Diagnostic and Statistical Manual, fifth edition, Binge eating disorder is a disorder recognized by the American Psychiatric Association (APA).       Unlike with bulimia, eating binges are not followed by inappropriate behavior, such as purging, but they are followed by distress, including feelings of guilt and embarrassment. 
3779. Physicians were considered authorities on all issues related to sex, despite the fact that they had little to no training in these issues, and it is likely that most of what people knew about sex had been learned either through their own experiences or by talking with their peers.         Convinced that people would benefit from a more open dialogue on issues related to human sexuality, Dr. Alfred Kinsey of Indiana University initiated large-scale survey research on the topic ([link]).       The results of some of these efforts were published in two books—Sexual Behavior in the Human Male and Sexual Behavior in the Human Female—which were published in 1948 and 1953, respectively (Bullough, 1998). 
